shelf;url;title;author;illustrator;year;publisher;rating;total_rating;total_review;genres;description;image_file
fiksi;https://www.goodreads.com/book/show/18216157-koin-terakhir;Koin Terakhir;Yogie Nugraha;;2013;Bentang Pustaka;3.17;108ratings;37reviews;Action;"Sebuah data rahasia milik pemerintah yang disimpan dalam koin berongga dicuri dari Lembaga Sandi Negara. Keamanan nasional terancam hancur jika data itu disebarluaskan. Badan Intelijen Negara pun turun tangan. Mereka menugaskan Zen, agen terbaik BIN, untuk menuntaskan kasus ini.
Lokasi koin terdeteksi, target pun terkunci. Penugasan yang terdengar sederhana menjelma menjadi malapetaka tak terduga, membawa Zen melintasi berbagai negara Eropa, bahkan mengancam nyawanya. Waktu semakin menghimpit, Zen harus bergegas menuntaskan misinya … hanya untuk menemukan bahwa ia berada tepat di tengah konspirasi sebuah organisasi rahasia.
Di tengah gejolak politik dan ekonomi global yang berkecamuk, sebuah skenario besar telah disiapkan. Bangsa ini tersingkir menjadi orang asing di negeri sendiri. Ketika";2013_Koin_Terakhir.jpg
fiksi;https://www.goodreads.com/book/show/85174373-tanah-para-bandit;Tanah Para Bandit;Tere Liye;;2023;Sabak Grip;4.29;952ratings;164reviews;Action, Fiction, Novels, Adventure;"Di sini, para penjahat dibesarkan sejak buaian.
Dilatih lewat kebohongan. Dididik dengan kemunafikan.
Diajarkan melalui ketidakpedulian.
Di sini, semua bisa diatur sepanjang ada uangnya.
Yang bodoh bisa menjadi pintar seketika. Yang tidak layak bisa segera memenuhi syarat. Yang bersalah bisa jadi benar.
Yang bengkok bisa diluruskan. Tidak suka lurus? Mari dibengkokkan lagi.
Di sini, di Tanah Para Bandit, tidak ada lagi beda antara penjahat bejat dengan tuan nyonya terhormat. Mencuri, merampok hak orang lain, lumrah saja.
Ayo, jangan terlalu serius, Kawan. Kita berpesta malam ini.
Buku ini adalah buku ke-7 dari serial aksi Tere Liye. Setelah: Negeri Para Bedebah, Negeri Di Ujung Tanduk, Pulang, Pergi, Pulang-Pergi, dan Bedebah Di Ujung Tanduk.";2023_Tanah_Para_Bandit.jpg
fiksi;https://www.goodreads.com/book/show/213278594-bandit-bandit-berkelas;Bandit Bandit Berkelas;Tere Liye;;2024;Sabakgrip;4.25;552ratings;85reviews;Action, Fiction, Novels, Crime, Indonesian Literature, Romance, Adventure;"Mereka memang adalah bedebah.
Bandit-bandit.
Tapi mereka bukan pengkhianat, orang-orang bermuka dua, penjilat dan tabiat murahan lainnya.
Mereka adalah bandit-bandit dengan kehormatan. Setia kawan. Pemegang janji terbaik.
Mereka adalah bandit-bandit berkelas.";2024_Bandit_Bandit_Berkelas.jpg
fiksi;https://www.goodreads.com/book/show/59386056-bedebah-di-ujung-tanduk;Bedebah di Ujung Tanduk;Tere Liye;;2021;PT Sabak Grip Nusantara;4.35;1,587ratings;215reviews;Action, Fiction, Novels, Fantasy, Indonesian Literature, Adventure;"Di Negeri Para Bedebah, pencuri, perampok, bagai musang berbulu domba. Di depan, wajah mereka tersenyum penuh pencitraan. Di belakang penuh tipu-tipu.
Di Negeri di Ujung Tanduk, pencuri, perampok, berkeliaran menjadi penegak hukum. Di depan, di belakang, mereka tidak malu-malu lagi.
Tapi setidaknya, Kawan, dalam situasi apapun, petarung sejati akan terus memilih kehormatan hidupnya. Bahkan ketika nasib di ujung tanduk. Dia akan terus bertarung habis-habisan, bersama sahabat sejati. Karena esok, matahari akan terbit sekali lagi. Bersama harapan.";2021_Bedebah_di_Ujung_Tanduk.jpg
fiksi;https://www.goodreads.com/book/show/25557846-first-girl;First Girl;Luna Torashyngu;;2015;Gramedia Pustaka Utama;3.77;223ratings;35reviews;Action, Fiction, Young Adult, Indonesian Literature;"Tiara tadinya hanya remaja SMA biasa yang hobi hang-out sepulang sekolah, nongkrong dan jajan di kantin, juga sering ketiduran di kelas saat pelajaran berlangsung.
Tapi hidup Tiara berubah setelah ayahnya terpilih menjadi presiden. Sebagai anak presiden, Tiara mendapat fasilitas pengamanan ketat dari Pasukan Pengamanan Presiden (Paspampres). Sejak itu kebebasan Tiara seolah terenggut. Saat hang-out dia selalu dikawal. Sebelum jajan di kantin, makanannya dicicipi lebih dulu oleh pengawalnya. Dan yang bikin Tiara bete, dia nggak bebas lagi ngecengin cowok yang diincarnya.
Tiara protes. Dia berontak. Dan protesnya itu diterima. Tiara lalu mendapat pengawal pribadi yang seusia dengannya, bahkan jadi murid baru di kelasnya.
Namanya Aster, bukan remaja biasa, dan telah terlatih mengawal anak pre";2015_First_Girl.jpg
fiksi;https://www.goodreads.com/book/show/27278384-3;3;Primadonna Angela;;2015;Gramedia Pustaka Utama;3.97;33ratings;13reviews;Action, Indonesian Literature, Fiction;"Novelisasi film 3 karya Sutradara Anggy Umbara.
Alif, Lam, dan Mim. Tiga sahabat seperguruan yang menjalani hidup berbeda sejak Indonesia menjadi negara liberal. Alif teguh sebagai penegak hukum. Lam berkarier sebagai wartawan, memaparkan kebenaran sebagaimana yang dilihatnya. Mim tetap setia di padepokan, meski Indonesia mencurigai mereka yang beragama.
Satu demi satu konflik bergulir. Dalam situasi genting, garis antara kawan dan lawan mengabur, dan mereka bertiga harus terus berjuang demi negara, keluarga, dan sahabat yang mereka sayangi...";2015_3.jpg
fiksi;https://www.goodreads.com/book/show/240017613-hilang-di-wonju;Hilang di Wonju;Tsugaeda (Ade);;2025;Elex Media Komputindo;3.91;56ratings;25reviews;Action, Mystery, Thriller;"""Kamu akan mendapat penugasan jangka pendek ... ke Korea.""
Penugasan ke Korea seharusnya menjadi penyelamat bagi karier Iptu Hani Rustaman yang sedang di ujung tanduk. Jika bisa membantu memecahkan kasus hilangnya Felisia--gadis dari Jakarta--di Korea, mungkin jalan hidupnya di kepolisian masih bisa diselamatkan. Namun, kehadiran Hani diremehkan dan ditolak Kepolisian Korea.
Meski jengkel atas penolakan tersebut, Hani memutuskan untuk melanjutkan penyelidikannya. Bersama Detektif Lee Kyungseok--detektif yang ditugaskan untuk mendampinginya--Hani mulai menyusun kepingan petunjuk yang membawa mereka lebih jauh ke dalam labirin teka-teki penyelamatan Felisia. Koper yang sengaja dibuang, rumor Pembunuh Saputangan, hingga ritual angka tujuh yang mengerikan menyadarkan Hani bahwa misi penyelamat";2025_Hilang_di_Wonju.jpg
fiksi;https://www.goodreads.com/book/show/56459890-pulang-pergi;Pulang-Pergi;Tere Liye;;2021;Sabak Grip Nusantara;4.44;2,507ratings;322reviews;Action, Novels, Fiction, Romance, Fantasy, Adventure, Crime;"""Ada jodoh yang ditemukan lewat tatapan pertama.
Ada persahabatan yang diawali lewat sapa hangat.
Bagaimana jika takdir bersama ternyata,
diawali dengan pertarungan mematikan?
Lantas semua cerita berkelindan dengan,
pengejaran demi pengejaran mencari jawaban?
Pulang-Pergi.""";2021_Pulang-Pergi.jpg
fiksi;https://www.goodreads.com/book/show/62996041-sisi-liar;Sisi Liar;Tsugaeda (Ade);;2022;Onepeach Media;4.46;57ratings;20reviews;Action, Thriller Suspense, Fiction;"Rupanya Dio tak bisa istirahat terlalu lama selepas menyelesaikan misi pertamanya. Misi baru telah datang. Kali ini ia harus membongkar sindikat penebangan liar yang sudah lama merusak hutan Indonesia. Untuk itu ia perlu pergi menyelidiki, mulai dari ke tengah hutan Kalimantan hingga ke Singapura.
Namun, semakin jauh Dio mendalami kasus ini, ia ternyata menguak kejahatan yang jauh lebih gelap. Pekerjaan investigasi yang ia kerjakan tiba-tiba berubah menjadi permainan perburuan manusia.";2022_Sisi_Liar.jpg
fiksi;https://www.goodreads.com/book/show/35697309-mantra-lilith;Mantra Lilith;Hendri Yulius;;2017;Elex Media Komputindo;3.93;71ratings;17reviews;Adult;"“Kita sebagai sesama perempuan harus saling berbagi, termasuk berbagi neraka!”
Ini adalah kisah pengantar tidur tentang para perempuan yang tak akan pernah bisa terlelap nyenyak sebelum membalaskan dendam kesumatnya.
Mereka bukan perempuan luar biasa; mereka pasti sering kau jumpai di mana-mana para perempuan yang berusaha untuk menyembunyikan benci, amarah, dan murka di balik senyum dan pulasan kosmetik.
Bacalah dan temukan sosok mereka dalam dirimu sendiri….";2017_Mantra_Lilith.jpg
