SHELF,URL,TITLE,AUTHOR,ILLUSTRATOR,YEAR,PUBLISHER,RATING,TOTAL_RATING,TOTAL_REVIEW,GENRES,DESCRIPTION,IMAGE_FILE,image_ok,brightness_mean,saturation_mean,warna_1,warna_pct_1,warna_h_1,warna_s_1,warna_v_1,warna_hex_1,warna_2,warna_pct_2,warna_h_2,warna_s_2,warna_v_2,warna_hex_2,warna_3,warna_pct_3,warna_h_3,warna_s_3,warna_v_3,warna_hex_3,warna_4,warna_pct_4,warna_h_4,warna_s_4,warna_v_4,warna_hex_4,warna_5,warna_pct_5,warna_h_5,warna_s_5,warna_v_5,warna_hex_5,warna_kategori,hue_dominant,teks_coverage,n_region_teks,ocr_teks,judul_match_score,error_modul_b,yolo_n_objek,yolo_objek,yolo_objek_unik,yolo_ada_manusia,detr_ada_manusia,detr_objek_n,detr_objek_list,gaya_ilustrasi,gaya_skor,gaya_prob_photograph,gaya_prob_hand_drawn,gaya_prob_abstract,gaya_prob_flat_graphic,gaya_prob_text_dominant,ocr_text,ocr_confidence,ocr_zone,clip_font_1,clip_score_1,clip_cat_1,clip_font_2,clip_score_2,clip_cat_2,clip_font_3,clip_score_3,clip_cat_3,clip_font_4,clip_score_4,clip_cat_4,clip_font_5,clip_score_5,clip_cat_5,clip_margin,tipe_font,font_source,match_type,typeface_kategori,typeface_low_conf,typeface_paper,typeface_paper_source,typeface_paper_low_conf
fiksi,https://www.goodreads.com/book/show/29435198-00,00:00,Ardelia Karisa,,2016,Gramedia Widiasarana,3.29,69,15,"Sastra Indonesia, Fiksi","“You realize that you’re always leaving me by this time? The first time we met, the second time, now.”
“I’m such a Cinderella,” kataku singkat menanggapi kalimatnya itu.
“Maybe. But I’m not a stupid prince.”
“Why the prince is stupid?”
“Well, he told Cinderella that he’s in love with her, but he forgets how she looks and has to put a shoe on every girl in the kingdom.” Sangat masuk akal. Tapi, sayangnya aku tidak sepintar itu untuk menyadarinya.
“If I fall in love with a girl I’ll never forget how she looks. And I know exactly where to find her.”
Charvi Adipramana tidak menyangka bahwa pertemuannya dengan Nicolas Moreau—seorang ekspatriat Perancis yang tinggal di Jakarta— mengantarkannya pada ide kencan satu hari penuh. Charvi bertemu Nic tepat satu hari sebelum ia terbang ke Paris untuk m",2016_0000.jpg,True,0.3951,0.511,biru,44.85,110.9,190.08,72.2,#122448,biru,19.32,103.04,133.85,112.29,#365770,biru,18.75,109.62,46.19,129.87,#6a7281,biru,10.18,120.13,88.83,69.28,#2d2d45,putih,6.89,55.63,21.0,221.99,#cfddcc,biru,110.9,0.2789,889.0,"AN Pen  tulisan Ardelia, Nikmati novel ini sampai akhir dan temukan  een NN oe  —Dwitasari, penulis novel bestseller Raksasa Dari  4  rut rw  SEN UI  5  —  coed  ee  &.  oe  +3  tae)  =e  mom  ARDELIA",0.0,,1,book,1,False,False,0,,photograph,0.6748,0.6748,0.0191,0.0164,0.1747,0.0726,ARDELIA KARIS A,0.673,full,Faster One,0.2479,display,Rubik One,0.2456,display,Press Start 2P,0.2413,display,Exo,0.2409,display,Orbitron,0.2408,display,0.0023,Faster One,CLIP_only,clip_unlisted,unknown,True,Fancy,weighted_vote,True
fiksi,https://www.goodreads.com/book/show/43205062-11,11:11,Fiersa Besari,,2018,Mediakita,4.12,852,71,"Sastra Indonesia, Roman, Fiksi, Novel, Cerita Pendek","Orang bilang, jodoh takkan ke mana. Aku rasa mereka keliru. Jodoh akan kemana-mana terlebih dahulu sebelum akhirnya menetap. Ketika waktunya telah tiba, ketika segala rasa sudah tidak bisa lagi dilawan, yang bisa kita lakukan hanyalah merangkul tanpa perlu banyak kompromi.",2018_1111.jpg,True,0.6639,0.1158,abu,33.45,87.46,26.91,178.53,#a0b2b0,abu,31.24,87.84,21.19,192.33,#b0c0be,biru,22.39,86.33,34.35,162.44,#8ca29f,merah,8.04,85.03,44.26,139.57,#738b87,hijau,4.89,57.88,54.18,40.06,#202820,abu,87.46,0.0784,94.0,Albuk #2  aan  fiersa bedart  ft,0.0,,0,,0,False,False,0,,text_dominant,0.6556,0.1204,0.0479,0.1161,0.0043,0.6556,Albuk #2,0.857,full,IBM Plex Sans,0.211,sans_serif,GFS Didot,0.2099,modern_serif,Spectral,0.2087,humanist_serif,Roboto Slab,0.2065,slab_serif,IM Fell English,0.2064,modern_serif,0.0011,IBM Plex Sans,CLIP_only,clip_unlisted,sans_serif,True,Sans-serif,from_existing,True
fiksi,https://www.goodreads.com/book/show/29435235-11,11:11,Lucia Priandarini,,2016,Gramedia Widiasarana,3.88,112,34,"Sastra Indonesia, Fiksi","Apa hal terburuk dari bertemu orang dari masa lalu? Bisa jadi jawabannya adalah menghadapi kepingan diri pada masa silam yang diam-diam ingin disembunyikan. Orang bilang masa lalu mestinya ditinggalkan demi menatap masa depan. Padahal, masa lalu adalah cermin untuk mengingat siapa dan dari mana perjalanan manusia bermula.
Btari tidak menyangka open trip pertamanya ke Bromo membawanya berjumpa dengan Mikhail teman masa kecilnya. Btari tak pernah lagi bertemu Mikha sejak keluarganya memutuskan pindah ke Jakarta. Dan, kini ia berjumpa Mikha, empat minggu jelang hari pernikahan dengan tunangannya.
Perjalanan 1 x 24 jam menuju Bromo bersama laki-laki dari masa lalu membawa Btari pada kisah baru. Menyadarkannya dari 25 tahun cerita hidup yang seolah dituliskan oleh orang lain. Mikhail menunjukka",2016_1111.jpg,True,0.7919,0.3652,biru,30.93,110.5,72.72,205.7,#93a6cd,biru,23.17,106.91,150.23,161.37,#426ea1,biru,16.9,102.5,206.82,180.04,#237ab4,putih,15.51,2.13,0.32,245.68,#f5f5f5,putih,13.49,153.03,6.4,240.02,#f0eaef,biru,110.5,0.8158,4369.0,"11 mendadi:  menjadi mis  riust Mem  aca ni  ini membuat hanyut  9  dan tak te  sa ingin terus membalik  ampai halaman akhir.  rawa  Ide cerit,  alurn  “dijabit' apik oleh penuli  ya  Adenit  nulis 23",5.714.285.714.285.710,name 'analyze_typography' is not defined,1,skis,1,False,False,0,,text_dominant,0.3861,0.0951,0.0639,0.0503,0.3315,0.3861,GRASINDO PRIANDARINI LU CIA Angka 11 mendadak menjadi misterius! Membaca novel ini membuat hanyut Ide cerita dan alurnya 'dijahit apik oleh penulisnya.,0.821,full,IBM Plex Sans,0.2179,sans_serif,Great Vibes,0.2169,script,Ubuntu,0.2162,sans_serif,Josefin Slab,0.2157,slab_serif,Figtree,0.2155,sans_serif,0.001,Mister,DaFont,ocr_partial,unknown,False,Sans-serif,weighted_vote,False
fiksi,https://www.goodreads.com/book/show/29435215-17,17:17,Sheva Thalia,,2016,Gramedia Widiasarana,3.33,55,21,"Sastra Indonesia, Roman, Fiksi","Aku senang melihat angka-angka berdampingan dengan selaras, ketika ada banyak probabilitas yang bisa menunjukkan angka yang berbeda. Pada akhirnya, ada angka yang sama bertumpu pada satu titik. Sebelas dengan sebelas. Nol dengan nol. Tujuh belas dengan tujuh belas.
Raka dan Sara bertemu pada hari yang serba ganjil. Pada hari ketiga dalam suatu minggu di sebuah ruang tunggu wawancara. Di antara hujan deras serta lampu padam, menambah kenahasan hari keduanya yang gagal mendapat kerja.
Rupanya benar apa kata orang: bahwa jawaban ditemukan pada proses perjalanan. Raka dan Sara menemukan sesuatu yang menggenapkan hari mereka yang ganjil, di sela-sela musik, canda tawa, dan riuhnya Ibu Kota. Keduanya menikmati Jakarta yang sibuk. Menyusuri tiap jalan seolah waktu berjalan begitu lamban. Raka dan",2016_1717.jpg,True,0.7606,0.4232,merah,29.93,9.22,148.35,188.65,#bc704f,oranye,22.28,11.73,72.82,229.6,#e5bca4,biru,17.32,110.75,55.31,234.72,#b8c8ea,biru,15.8,110.71,58.89,99.54,#4c5463,biru,14.68,97.59,193.86,204.19,#32a8cc,merah,9.22,0.9517,493.0,"snangkan ir  ri tahu saya bahwa perihal  tekaian hal  hana yang kita  rhana ada  rkara rumit  h kita perjua  nul  lihat Api Bekerja.  lint  MU  «£  ay  Phe  cyt  PN  Ka Min  Paya  ee  3  ""SHEV,  ty  1",33.333.333.333.333.300,,1,cake,1,False,False,0,,text_dominant,0.2936,0.243,0.0186,0.0389,0.1387,0.2936,SHEVA,0.761,full,Great Vibes,0.2449,script,Quicksand,0.2403,sans_serif,Dancing Script,0.2397,script,Cookie,0.2382,script,Kaushan Script,0.2381,script,0.0046,Great Vibes,CLIP_only,clip_unlisted,script,True,Script,from_existing,True
fiksi,https://www.goodreads.com/book/show/145627262-23,23:59,Brian Khrisna,,2023,mediakita,3.72,300,64,"Sastra Indonesia, Fiksi, Roman","Tidak ada yang lebih menyakitkan ketimbang hubungan yang berakhir dengan penuh tanda tanya. Ketika kamu harus dipaksa ikhlas atas perpisahan yang terjadi tanpa kamu tahu apa yang salah dari hubunganmu kemarin. Dia pergi dan menghilang, tanpa mau memberitahumu alasan yang sebenarnya. Lalu, kamu akan dipaksa melewati hari demi hari dengan terus menyalahkan diri sendiri.
Apa kurangku?
Apakah dia tidak bahagia bersamaku?
Apa yang selama ini dia cari dan tak dia temukan di diriku?
Apakah selama ini aku tak cukup mampu untuk membuatnya bahagia?
Itulah perasaan yang selama ini Ami derita. Seorang gadis cantik bertubuh mungil yang dipaksa harus merelakan hubungannya bersama Raga berakhir, tanpa ada sedikit pun penjelasan yang dia dapatkan. Trauma, Depresi, kantung mata, rambut rontok, dan segala m",2023_2359.jpg,True,0.7232,0.2808,oranye,34.33,16.72,30.72,221.69,#ddd1c3,oranye,26.75,15.88,161.92,213.71,#d5924f,hijau,19.44,64.36,31.26,107.57,#5e6b60,biru,11.42,101.09,36.36,164.14,#8d9ca4,kuning,8.06,29.44,93.49,142.34,#8e8c5a,oranye,16.72,0.9937,778.0,"Ag  wg  =  CS  Sy 1  aS  3  td  2  Ta  SA  SD  Ss  as  “Gy  oO  &  2  ""3  oy  Ah  és  LZ  “45  allt  £  PLS  ki  Abay  4  grees J  #1  AA  ey  KR",40.0,,0,,0,False,False,0,,flat_graphic,0.5028,0.1017,0.236,0.0368,0.5028,0.051,Khrisna Brian `,0.684,full,McLaren,0.2276,slab_serif,Rockwell,0.2243,slab_serif,Bitter,0.2243,slab_serif,Enriqueta,0.2242,slab_serif,Slabo 27px,0.2242,slab_serif,0.0033,Mclaren,Google Fonts,clip,unknown,True,Serif,weighted_vote,True
fiksi,https://www.goodreads.com/book/show/11978369-2,2,Donny Dhirgantoro,,2011,Grasindo,3.56,2032,190,"Novel, Fiksi, Sastra Indonesia, Roman, Keluarga, Inspiratif, Slice of Life","Ini Bulutangkis, dan Ini Indonesia, dimana impian dibawa ke dunia nyata, tidak berlaku untuk Gusni Annisa Puspita, remaja yang 'kelebihannya' adalah keterbatasannya. Cita-citanya sejak kecil untuk membuat orang tuanya senang dengan bermain bulutangkis terus kandas.
Suatu malam sebuah kenyataan pahit datang untuknya, sebuah kenyataan tak berperi, hidup yang tidak berpihak kepadanya, kenyataan yang berbicara lantang kalau bermimpi saja tidak akan pernah cukup.
Dan, perempuan Indonesia dengan segala keterbatasannya itu memutuskan untuk melawan, memutuskan untuk terus berjuang demi impiannya, memutuskan untuk terus mencintai hidup yang tidak pernah sempurna.
Memutuskan untuk berani mencintai, dan mencintai dengan berani…",2011_2.jpg,True,0.8702,0.7551,merah,91.3,175.98,208.4,219.51,#db2846,putih,2.58,19.52,3.78,254.19,#fefdfb,putih,2.49,161.93,14.43,253.89,#fdeff8,putih,2.15,85.99,2.71,254.7,#fcfefe,merah,1.48,175.72,119.26,211.84,#d37181,merah,175.98,0.161,77.0,Donny Dhirgantoro,0.0,,0,,0,False,False,0,,text_dominant,0.5287,0.029,0.0043,0.2871,0.1457,0.5287,Donny Dhirgantoro,0.908,full,Exo 2,0.239,sans_serif,Ubuntu,0.2384,sans_serif,Roboto Slab,0.2377,slab_serif,McLaren,0.2371,slab_serif,Raleway,0.2355,sans_serif,0.0006,Exo 2,DaFont,clip,sans_serif,True,Sans-serif,from_existing,True
fiksi,https://www.goodreads.com/book/show/27278384-3,3,Primadonna Angela,,2015,Gramedia Pustaka Utama,3.97,33,13,"Aksi, Sastra Indonesia, Fiksi","Novelisasi film 3 karya Sutradara Anggy Umbara.
Alif, Lam, dan Mim. Tiga sahabat seperguruan yang menjalani hidup berbeda sejak Indonesia menjadi negara liberal. Alif teguh sebagai penegak hukum. Lam berkarier sebagai wartawan, memaparkan kebenaran sebagaimana yang dilihatnya. Mim tetap setia di padepokan, meski Indonesia mencurigai mereka yang beragama.
Satu demi satu konflik bergulir. Dalam situasi genting, garis antara kawan dan lawan mengabur, dan mereka bertiga harus terus berjuang demi negara, keluarga, dan sahabat yang mereka sayangi...",2015_3.jpg,True,0.3589,0.5178,merah,34.94,8.56,176.31,49.66,#31180f,oranye,21.39,13.29,90.72,64.68,#403329,oranye,20.98,13.17,151.69,140.49,#8c5d39,oranye,15.44,17.12,60.54,189.12,#bdaa91,hitam,7.25,166.07,134.9,24.02,#180b11,merah,8.56,0.9904,1310.0,"Fa  Vy  W’  >  TN  $  iv  2  Lg  «  mee  aan PTASI,OLE H  PRIMADONNA ANGELA",0.0,,6,person,1,True,True,2,cell phone|person,photograph,0.3876,0.3876,0.0782,0.0089,0.0262,0.1323,PRIMADONNA ANGELA,0.991,full,Pirata One,0.2148,display,Lobster,0.2103,display,Trajan Pro 3,0.2095,modern_serif,Rozha One,0.207,modern_serif,League Gothic,0.2069,display,0.0045,Madonna,DaFont,ocr_partial,unknown,False,Fancy,weighted_vote,False
fiksi,https://www.goodreads.com/book/show/18042601-13,13,Dedek Fidelis Sinabutar,,2013,Mediakita,4.18,17,7,"Sastra Indonesia, Fiksi","Kaupercaya dengan yang dinamakan mitos?
Kadangkala, ada sesuatu yang rahasia di dunia ini—yang terlalu besar, misterius dan mistis untuk diceritakan dan dipercaya begitu saja, sehingga aku.. ah maksudku, kami, menyimpan rahasia itu lalu menamakannya: mitos.
Kaupercaya dengan yang dinamakan mitos?
Barangkali, setelah selesai membaca buku ini, kau memilih untuk tidak percaya dengan mitos-mitos yang baru saja kauketahui. Tapi. Ketahuilah, Kawan, kalau aku menjadi kau, aku akan percaya. Sebab, beberapa mitos berkaitan dengan ‘mereka’ yang telah berpulang pada kematian.
Kaupercaya dengan yang dinamakan mitos?
Buka mata, buka telinga, dengarkan hatimu.. dan kau akan mengetahuinya.
---
sama seperti judul yang tertera, buku ini istimewa. duduk senyaman mungkin dan ikuti peraturannya. Buku ini akan",2013_13.jpg,True,0.6272,0.8038,oranye,27.36,16.63,211.59,223.41,#df8926,oranye,27.17,13.53,206.37,185.66,#b96424,oranye,24.56,11.04,197.23,130.43,#82421e,merah,20.63,9.47,203.37,77.89,#4d2210,merah,0.28,178.42,224.63,124.69,#7c0f16,oranye,16.63,0.1563,87.0,"A HOROR  genuast CERIT  Hemaritah, Je!  “  belangdku mg  Datang dan berkumpul  Mersama kami  NA  Di sini ada Inanidaa yanginpit  mengajakmu bercerita.  8  |  N  1  is  +  on  Av  er  )  tee  4  J  N  ",50.0,,0,,0,False,False,1,book,hand_drawn,0.3931,0.3837,0.3931,0.0052,0.0528,0.0073,HOROR Dedek Fidelis Sinabutar CERITA  SEBUAH,0.539,full,Crafty Girls,0.2501,script,Rozha One,0.2425,modern_serif,Over the Rainbow,0.2399,script,Enriqueta,0.2388,slab_serif,Laila,0.2387,slab_serif,0.0076,Cerita,DaFont,ocr_partial,unknown,False,Serif,weighted_vote,False
fiksi,https://www.goodreads.com/book/show/52724875-022,22,Lokalpcy,,2019,Clover,3.63,60,24,"Roman, Sastra Indonesia, Fiksi","Cakrawala. Dia diartikan sebagai lengkung langit tempat bintang-bintang bersandar.
Ladinia. Dia adalah bintang paling terang yang pernah bersandar pada cakrawala.
Cakrawala, drummer dari band indie Anchorbolt pertama kali bertemu Ladinia, reporter dari media musik bernama Stagesnap, di belakang panggung saat gegap gempita reda. Meninggalkan kesan, tapi tak seberapa. Lalu, Bandung mempertemukan sang drummer dan sang reporter dalam setiap gigs, menjadi penanda dimulainya tukar cerita tentang skena musik hingga idealisme hidup. Cerita demi cerita terekam di seluruh sudut kota kembang, menambah satu lagi hal manis yang bisa diingat dari kota berkode telepon 022. Semua tampak baik-baik saja hingga salah satunya jatuh cinta dan salah satunya enggan percaya.",2019_022.jpg,True,0.7666,0.176,oranye,73.3,23.28,39.26,225.48,#e1d9bf,oranye,13.36,18.16,48.99,181.26,#b5a793,oranye,7.14,18.36,115.18,68.69,#443825,hitam,4.52,3.32,7.83,15.44,#0f0f0f,hitam,1.68,128.27,58.79,21.52,#111015,oranye,23.28,0.4166,300.0,I  Odd  (A  #  2  doe  Gaara,50.0,,2,person,1,True,True,2,handbag|person,photograph,0.72,0.72,0.0165,0.0049,0.1666,0.0295,Lokalpcy Home,0.751,full,Kalam,0.2949,script,Zeyada,0.2933,script,Euphoria Script,0.2926,script,Pinyon Script,0.2919,script,Petit Formal Script,0.2919,script,0.0016,Kalam,Google Fonts,clip,script,True,Script,from_existing,True
fiksi,https://www.goodreads.com/book/show/14740316-65,65,Gitanyali,,2012,Kepustakaan Populer Gramedia (KPG),3.05,86,18,"Sastra Indonesia, Novel","Jalan hidup Gitanyali seolah tak bisa lepas dari angka 65. Peristiwa '65 membuat hidupnya berubah seketika dari anak keluarga pemuka partai yang jaya merosot menjadi paria. Berusaha membebaskan diri dari dosa turunan, ia berganti-ganti nama, dan mendefinisian bebas sesuai kebutuhan hidupnya. Perjumpaannya dengan Emma-pemilik galeri seni di Bangkok-membawa Gitanyali ke mistik angka 65 yang lain. Dunia baru yang penuh cinta dan harapan terbuka lebar.Ia masuk dalam keadaan harus meninggalkan kehidupan asmaranya yang liar-dengan Tante Rosa di kota kecil di Jawa Tengah, Hilda di Bandung, Christine di Paris-serta berdamai dengan kenangan masa lalu.",2012_65.jpg,True,0.9857,0.004,putih,93.37,0.39,0.06,254.43,#fefefe,putih,2.12,161.8,11.75,233.51,#e9dfe5,putih,1.94,89.57,6.03,246.4,#f0f6f6,abu,1.85,0.72,0.89,190.35,#bebebe,biru,0.72,109.14,82.43,75.55,#333c4b,putih,0.39,0.1621,140.0,MP.  i.  _/|—  /1  Mi  x  Lanjutan Blues Merbabu,0.0,,1,person,1,True,True,1,person,flat_graphic,0.4285,0.0507,0.0047,0.1854,0.4285,0.2984,Lanluton Blues Nerbabu,0.369,full,Outfit,0.2447,sans_serif,Be Vietnam Pro,0.2372,sans_serif,Montserrat,0.236,sans_serif,Lato,0.2333,sans_serif,Hanken Grotesk,0.2319,sans_serif,0.0075,Outfit,DaFont,clip,sans_serif,True,Sans-serif,from_existing,True
